NORMALS 1961-90		YRS	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANN
BALTIMORE	MD	30	3.05	3.12	3.38	3.09	3.72	3.67	3.69	3.92	3.41	2.98	3.32	3.41	40.76
BARROW	AK	30	0.17	0.15	0.17	0.20	0.16	0.28	0.94	0.96	0.60	0.45	0.25	0.16	4.49
BATON ROUGE	LA	30	4.91	5.52	4.81	5.37	4.89	4.48	6.74	6.00	4.85	3.48	4.31	5.53	60.89
BECKLEY	WV	30	2.92	2.94	3.40	3.43	3.98	3.84	4.70	3.38	3.33	2.89	2.99	3.23	41.03
BETHEL	AK	30	0.58	0.43	0.59	0.70	0.78	1.44	1.98	2.91	2.04	1.45	1.07	1.02	14.99
BETTLES	AK	30	0.69	0.64	0.68	0.64	0.61	1.44	1.94	2.38	1.72	1.20	0.90	0.90	13.74
BIG DELTA	AK	30	0.33	0.28	0.25	0.29	0.92	2.56	2.72	1.92	1.06	0.71	0.52	0.40	11.96
BILLINGS	MT	30	0.90	0.64	1.16	1.74	2.57	1.99	0.94	1.01	1.36	1.14	0.84	0.79	15.08
BINGHAMTON	NY	30	2.40	2.33	2.82	3.13	3.36	3.60	3.50	3.36	3.32	2.89	3.28	3.00	36.99
BIRMINGHAM AP	AL	30	5.10	4.72	6.19	4.96	4.85	3.73	5.25	3.59	3.93	2.81	4.33	5.12	54.58
BISHOP	CA	30	1.11	0.95	0.39	0.26	0.29	0.18	0.23	0.18	0.24	0.13	0.57	0.84	5.37
BISMARCK	ND	30	0.45	0.43	0.77	1.67	2.18	2.72	2.14	1.72	1.49	0.90	0.49	0.51	15.47
BLUE HILL	MA	30	4.15	4.31	4.41	4.05	3.80	3.43	3.49	3.92	3.82	3.94	4.92	4.71	48.95
BOISE	ID	30	1.45	1.07	1.29	1.24	1.08	0.81	0.35	0.43	0.80	0.75	1.48	1.36	12.11
BOSTON	MA	30	3.59	3.62	3.69	3.60	3.25	3.09	2.84	3.24	3.06	3.30	4.22	4.01	41.51
BRIDGEPORT	CT	30	3.24	3.01	3.75	3.75	3.93	3.46	3.78	3.25	3.07	3.11	3.81	3.50	41.66
BRISTOL-JHNSN CTY-KNGSPRT	TN	30	3.23	3.44	3.70	3.30	3.84	3.54	4.32	3.17	3.26	2.59	2.94	3.39	40.72
BROWNSVILLE	TX	30	1.56	1.06	0.53	1.56	2.94	2.73	1.90	2.77	6.00	2.80	1.51	1.25	26.61
BUFFALO	NY	30	2.70	2.31	2.68	2.87	3.14	3.55	3.08	4.17	3.49	3.09	3.83	3.67	38.58
BURLINGTON	VT	30	1.82	1.63	2.23	2.76	3.12	3.47	3.65	4.06	3.30	2.88	3.13	2.42	34.47
BURNS	OR	30	0.99	0.76	1.01	0.65	0.98	0.83	0.40	0.66	0.56	0.72	1.25	1.15	9.96
CAPE HATTERAS	NC	30	5.30	4.12	4.29	3.53	4.00	4.11	4.98	6.00	5.27	4.98	4.97	4.54	56.09
CARIBOU	ME	30	2.42	1.92	2.43	2.45	3.07	2.91	4.01	4.07	3.45	3.10	3.55	3.22	36.60
CASPER	WY	30	0.55	0.60	0.95	1.56	2.13	1.46	1.26	0.67	0.94	0.97	0.77	0.66	12.52
CHARLESTON AP	SC	30	3.45	3.30	4.34	2.67	4.01	6.43	6.84	7.22	4.73	2.90	2.49	3.15	51.53
CHARLESTON CO	SC	30	3.36	3.06	4.30	2.44	3.53	5.83	6.05	7.31	4.67	2.78	2.29	2.90	48.52
CHARLESTON	WV	30	2.91	3.04	3.63	3.31	3.94	3.59	4.99	4.01	3.24	2.89	3.59	3.39	42.53
CHARLOTTE	NC	30	3.71	3.84	4.43	2.68	3.82	3.39	3.92	3.73	3.50	3.36	3.23	3.48	43.09
CHATTANOOGA	TN	30	4.89	4.81	6.03	4.31	4.37	3.52	4.85	3.53	4.15	3.22	4.61	5.17	53.46
CHEYENNE	WY	30	0.40	0.39	1.03	1.37	2.39	2.08	2.09	1.69	1.27	0.74	0.53	0.42	14.40
CHICAGO	IL	30	1.53	1.36	2.69	3.64	3.32	3.78	3.66	4.22	3.82	2.41	2.92	2.47	35.82
CHUUK E. CAROLINE IS	PC	30	8.98	6.42	9.05	11.46	13.94	11.84	14.37	13.77	12.07	14.23	11.10	11.55	138.78
CLAYTON	NM	30	0.24	0.31	0.55	0.94	1.99	2.27	2.70	2.61	1.77	0.90	0.52	0.29	15.09
CLEVELAND	OH	30	2.04	2.19	2.91	3.14	3.49	3.70	3.52	3.40	3.44	2.54	3.17	3.09	36.63
COLD BAY	AK	30	2.84	2.27	2.16	1.97	2.29	2.10	2.52	3.24	4.41	4.34	4.19	3.67	36.00
COLORADO SPRINGS	CO	30	0.29	0.40	0.94	1.19	2.15	2.25	2.90	3.02	1.33	0.84	0.47	0.46	16.24
COLUMBIA	MO	30	1.45	1.84	3.17	3.83	5.01	4.32	3.67	3.28	3.86	3.22	2.93	2.47	39.05
COLUMBIA	SC	30	4.42	4.12	4.82	3.28	3.68	4.80	5.50	6.09	3.67	3.04	2.90	3.59	49.91
COLUMBUS	GA	30	4.59	4.85	5.77	4.30	4.17	4.07	5.54	3.73	3.23	2.22	3.56	4.97	51.00
COLUMBUS	OH	30	2.18	2.24	3.27	3.21	3.93	4.04	4.31	3.72	2.96	2.15	3.22	2.86	38.09
CONCORDIA	KS	30	0.58	0.75	2.20	2.31	4.29	4.49	3.65	3.54	3.01	1.99	1.13	0.84	28.78
CONCORD	NH	30	2.51	2.53	2.72	2.91	3.14	3.15	3.23	3.32	2.81	3.23	3.66	3.16	36.37
CORPUS CHRISTI	TX	30	1.71	1.96	0.94	1.72	3.33	3.38	2.39	3.31	5.52	3.02	1.59	1.26	30.13
DALLAS-FORT WORTH	TX	30	1.83	2.18	2.77	3.50	4.88	2.98	2.31	2.21	3.39	3.52	2.29	1.84	33.70
DAYTONA BEACH	FL	30	2.75	3.11	2.90	2.23	3.45	5.99	5.40	6.16	6.34	4.13	2.84	2.59	47.89
DAYTON	OH	30	2.13	2.17	3.42	3.46	3.88	3.82	3.54	3.20	2.54	2.48	3.07	2.93	36.64
DEL RIO	TX	30	0.56	0.95	0.69	1.98	2.03	2.11	1.85	1.47	2.83	2.24	0.92	0.61	18.24
DENVER	CO	30	0.50	0.57	1.28	1.71	2.40	1.79	1.91	1.51	1.24	0.98	0.87	0.64	15.40
DES MOINES	IA	30	0.96	1.11	2.33	3.36	3.66	4.46	3.78	4.20	3.53	2.62	1.79	1.32	33.12
DETROIT	MI	30	1.76	1.74	2.55	2.95	2.92	3.61	3.18	3.43	2.89	2.10	2.67	2.82	32.62
DODGE CITY	KS	30	0.49	0.62	1.56	2.05	3.03	3.10	3.24	2.73	1.91	1.28	0.83	0.65	21.49
DUBUQUE	IA	30	1.26	1.32	2.89	3.72	4.26	4.13	4.02	4.69	4.67	2.73	2.71	1.96	38.36
DULUTH	MN	30	1.22	0.80	1.91	2.25	3.03	3.82	3.61	3.99	3.84	2.49	1.80	1.24	30.00
ELKINS	WV	30	3.08	3.00	3.83	3.82	4.12	4.46	4.53	4.35	3.76	3.08	3.33	3.48	44.84
ELKO	NV	30	0.98	0.80	0.96	0.82	1.00	0.91	0.33	0.65	0.62	0.65	1.11	1.10	9.93
EL PASO	TX	30	0.40	0.41	0.29	0.20	0.25	0.67	1.54	1.58	1.70	0.76	0.44	0.57	8.81
ELY	NV	30	0.70	0.65	0.96	1.00	1.15	0.88	0.69	0.83	1.01	0.89	0.67	0.70	10.13
ERIE	PA	30	2.22	2.28	3.00	3.24	3.44	4.09	3.43	4.06	4.39	3.77	4.02	3.59	41.53
EUGENE	OR	30	7.91	5.64	5.52	3.11	2.16	1.43	0.51	1.08	1.67	3.41	8.32	8.61	49.37
EUREKA	CA	30	6.00	4.73	5.32	2.88	1.44	0.51	0.13	0.48	0.89	2.67	6.44	6.04	37.53
EVANSVILLE	IN	30	2.66	3.12	4.71	4.02	4.75	3.49	4.04	3.11	2.97	2.87	3.73	3.67	43.14
FAIRBANKS	AK	30	0.47	0.40	0.37	0.32	0.61	1.37	1.87	1.96	0.95	0.90	0.80	0.85	10.87
FARGO	ND	30	0.67	0.45	1.06	1.82	2.45	2.82	2.70	2.43	1.99	1.68	0.73	0.65	19.45
FLAGSTAFF	AZ	30	2.04	2.09	2.55	1.48	0.72	0.40	2.78	2.75	2.03	1.61	1.95	2.40	22.80
FLINT	MI	30	1.39	1.28	2.16	2.94	2.65	3.21	2.71	3.49	3.56	2.18	2.60	2.11	30.28
FORT MYERS	FL	30	1.84	2.23	3.07	1.06	3.87	9.52	8.26	9.66	7.82	2.94	1.57	1.53	53.37
FORT SMITH	AR	30	1.90	2.60	3.95	3.97	5.24	3.39	2.99	2.92	3.24	3.68	3.99	3.03	40.90
FORT WAYNE	IN	30	1.87	1.91	2.90	3.38	3.44	3.59	3.45	3.37	2.67	2.49	2.79	2.89	34.75
FRESNO	CA	30	1.96	1.80	1.89	0.97	0.30	0.08	0.01	0.03	0.24	0.53	1.37	1.42	10.60
GAINESVILLE	FL	30	3.35	4.21	3.65	2.64	3.76	6.77	6.80	8.01	5.27	1.82	2.26	3.27	51.81
GLASGOW	MT	30	0.37	0.27	0.41	0.69	1.77	2.11	1.72	1.35	1.00	0.61	0.28	0.38	10.96
GOODLAND	KS	30	0.41	0.39	1.18	1.30	3.49	3.19	2.87	1.80	1.57	0.90	0.69	0.41	18.20
GRAND ISLAND	NE	30	0.46	0.72	1.89	2.50	3.82	3.91	2.83	2.82	2.85	1.35	1.04	0.71	24.90
GRAND JUNCTION	CO	30	0.56	0.48	0.90	0.75	0.87	0.50	0.65	0.81	0.82	0.98	0.71	0.61	8.64
GRAND RAPIDS	MI	30	1.83	1.42	2.63	3.37	3.13	3.68	3.19	3.57	4.24	2.81	3.32	2.85	36.04
GREATER CINCINNATI	AP	30	2.59	2.69	4.24	3.75	4.28	3.84	4.24	3.35	2.88	2.86	3.46	3.15	41.33
GREAT FALLS	MT	30	0.91	0.57	1.10	1.41	2.52	2.39	1.24	1.54	1.24	0.78	0.66	0.85	15.21
GREEN BAY	WI	30	1.15	1.03	2.05	2.40	2.82	3.39	3.10	3.50	3.47	2.23	2.16	1.53	28.83
GREENSBORO-WNSTN-SALM-HGHPT	NC	30	3.17	3.32	3.72	2.84	4.02	3.81	4.51	3.88	3.52	3.50	2.97	3.36	42.62
GREENVILLE-SPARTANBURG AP	SC	30	4.10	4.41	5.39	3.86	4.42	4.77	4.63	3.95	3.96	3.99	3.65	4.14	51.27
GUAM	PC	30	5.55	5.11	4.45	4.71	7.10	6.49	11.78	14.59	15.02	12.74	9.06	6.44	103.04
GULKANA	AK	30	0.45	0.53	0.36	0.24	0.61	1.60	1.78	1.50	1.38	0.89	0.61	0.92	10.87
HARTFORD	CT	30	3.41	3.23	3.63	3.85	4.12	3.75	3.19	3.65	3.79	3.57	4.04	3.91	44.14
HELENA	MT	30	0.63	0.41	0.73	0.97	1.78	1.87	1.10	1.29	1.15	0.60	0.48	0.59	11.60
HILO	HI	30	9.88	10.29	13.92	15.26	9.91	6.20	9.71	9.34	8.53	9.60	14.51	12.04	129.19
HOMER	AK	30	2.40	2.13	1.70	1.28	1.15	1.03	1.49	2.24	3.29	3.24	2.62	2.82	25.39
HONOLULU	HI	30	3.55	2.21	2.20	1.54	1.13	0.50	0.59	0.44	0.78	2.28	3.00	3.80	22.02
HOUGHTON LAKE	MI	30	1.50	1.16	2.02	2.22	2.57	3.02	2.58	3.37	3.41	2.18	2.27	1.95	28.25
HOUSTON	TX	30	3.29	2.96	2.92	3.21	5.24	4.96	3.60	3.49	4.89	4.27	3.79	3.45	46.07
HUNTINGTON	WV	30	2.83	2.90	3.68	3.43	4.24	3.51	4.65	3.83	2.93	2.83	3.30	3.36	41.49
HUNTSVILLE	AL	30	5.17	4.87	6.62	4.93	5.08	4.13	4.85	3.47	4.08	3.25	4.86	5.87	57.18
HURON	SD	30	0.41	0.68	1.66	2.09	2.87	3.35	2.67	1.97	1.72	1.47	0.72	0.47	20.08
INDIANAPOLIS	IN	30	2.32	2.46	3.79	3.70	4.00	3.49	4.47	3.64	2.87	2.63	3.23	3.34	39.94
INTERNATIONAL FALLS	MN	30	0.88	0.63	1.06	1.58	2.47	3.93	3.59	3.11	3.15	1.97	1.15	0.84	24.36
ISLIP	NY	30	3.69	3.48	4.10	4.23	3.94	3.82	3.46	4.04	3.48	3.55	4.23	4.05	46.07
JACKSON	KY	30	3.76	3.82	4.77	3.95	4.63	4.25	5.14	3.91	3.66	3.20	4.20	4.38	49.67
JACKSON	MS	30	5.24	4.70	5.82	5.57	5.05	3.18	4.51	3.77	3.55	3.26	4.81	5.91	55.37
JACKSONVILLE	FL	30	3.31	3.93	3.68	2.77	3.55	5.69	5.60	7.93	7.05	2.90	2.19	2.72	51.32
JUNEAU	AK	30	4.54	3.75	3.28	2.77	3.42	3.15	4.16	5.32	6.73	7.84	4.91	4.44	54.31
KAHULUI	HI	30	4.14	2.87	2.72	1.84	0.77	0.27	0.38	0.49	0.35	1.23	2.59	3.27	20.92
KALISPELL	MT	30	1.53	1.10	1.02	1.10	1.87	2.21	1.12	1.40	1.26	0.87	1.30	1.73	16.51
KANSAS CITY	MO	30	1.09	1.10	2.51	3.12	5.04	4.72	4.38	4.01	4.86	3.29	1.92	1.58	37.62
KEY WEST	FL	30	2.01	1.80	1.71	1.75	3.46	5.09	3.61	5.03	5.85	4.42	2.84	2.02	39.59
KING SALMON	AK	30	1.05	0.81	1.07	1.13	1.34	1.58	2.23	2.95	2.74	2.07	1.48	1.37	19.82
KNOXVILLE	TN	30	4.17	4.06	5.09	3.72	4.13	3.97	4.67	3.13	3.07	2.84	3.75	4.54	47.14
KODIAK	AK	30	7.38	5.28	4.63	4.20	5.52	4.78	3.70	5.15	6.99	7.18	5.96	6.81	67.58
KOROR	PC	30	10.70	9.12	8.20	8.67	11.99	17.27	18.04	14.95	11.86	13.87	11.32	11.98	147.97
KOTZEBUE	AK	30	0.43	0.32	0.35	0.37	0.33	0.52	1.46	1.78	1.58	0.73	0.59	0.52	8.98
KWAJALEIN MARSHALL IS,	PC	30	4.56	3.23	4.10	7.55	9.98	9.62	10.44	10.11	11.83	11.91	10.66	8.10	102.09
LA COSE	WI	30	0.93	0.90	1.98	2.88	3.26	3.90	3.79	3.92	3.79	2.20	1.73	1.27	30.55
LAKE CHARLES	LA	30	4.52	3.59	3.29	3.33	5.67	4.96	5.20	5.33	5.69	3.95	4.26	5.05	54.84
LANDER	WY	30	0.48	0.57	1.15	2.08	2.32	1.46	0.81	0.53	1.10	1.13	0.80	0.58	13.01
LANSING	MI	30	1.49	1.36	2.30	2.81	2.61	3.71	2.52	3.20	3.56	2.10	2.63	2.33	30.62
LAS VEGAS	NV	30	0.48	0.48	0.42	0.21	0.28	0.12	0.35	0.49	0.28	0.21	0.43	0.38	4.13
LEWISTON	ID	30	1.28	0.89	1.09	1.13	1.31	1.25	0.67	0.78	0.78	0.90	1.15	1.20	12.43
LEXINGTON	KY	30	2.86	3.21	4.40	3.88	4.47	3.66	5.00	3.93	3.20	2.57	3.39	3.98	44.55
LIHUE	HI	30	5.89	3.33	4.17	3.50	3.15	1.69	2.13	1.76	2.37	4.41	5.45	5.15	43.00
LINCOLN	NE	30	0.54	0.72	2.09	2.76	3.90	3.89	3.20	3.41	3.48	2.12	1.27	0.88	28.26
LITTLE ROCK	AR	30	3.42	3.61	4.91	5.49	5.17	3.57	3.60	3.26	4.05	3.75	5.20	4.83	50.86
LONG BEACH	CA	30	2.47	2.47	1.96	0.68	0.17	0.04	0.01	0.11	0.29	0.27	1.65	1.68	11.80
LOS ANGELES AP	CA	30	2.40	2.51	1.98	0.72	0.14	0.03	0.01	0.15	0.31	0.34	1.76	1.66	12.01
LOS ANGELES CO	CA	30	2.92	3.07	2.61	1.03	0.19	0.03	0.01	0.14	0.45	0.31	1.98	2.03	14.77
LOUISVILLE	KY	30	2.86	3.30	4.66	4.23	4.62	3.46	4.51	3.54	3.16	2.71	3.70	3.64	44.39
LUBBOCK	TX	30	0.39	0.68	0.89	0.97	2.35	2.75	2.37	2.51	2.60	1.86	0.75	0.53	18.65
LYNCHBURG	VA	30	2.86	3.04	3.47	3.09	3.91	3.45	4.16	3.59	3.24	3.70	3.14	3.23	40.88
MACON	GA	30	4.56	4.74	4.79	3.46	3.57	3.58	4.30	3.63	2.78	2.18	2.73	4.31	44.63
MADISON	WI	30	1.07	1.08	2.17	2.86	3.14	3.66	3.39	4.04	3.37	2.17	2.09	1.84	30.88
MAJURO MARSHALL IS,	PC	30	8.43	6.15	8.28	10.28	11.18	11.59	13.00	11.52	12.42	13.84	12.80	11.85	131.34
MANSFIELD	OH	30	1.98	2.02	3.30	3.64	4.35	3.95	4.04	4.08	3.38	2.34	3.51	3.07	39.66
MARQUETTE	MI	30	2.17	1.73	2.77	2.64	3.03	3.48	2.88	3.41	4.08	3.61	2.89	2.61	35.30
MCGRATH	AK	30	0.75	0.66	0.80	0.82	0.87	1.47	2.05	2.47	1.98	1.40	1.29	1.40	15.96
MEDFORD	OR	30	2.69	1.93	1.82	1.16	1.00	0.58	0.26	0.52	0.86	1.49	3.23	3.32	18.86
MEMPHIS	TN	30	3.73	4.35	5.41	5.46	4.98	3.57	3.79	3.43	3.53	3.01	5.10	5.74	52.10
MERIDIAN	MS	30	5.15	5.43	6.75	5.46	4.42	3.63	5.15	3.58	3.52	3.06	4.49	6.07	56.71
MIAMI	FL	30	2.01	2.08	2.39	2.85	6.21	9.33	5.70	7.58	7.63	5.64	2.66	1.83	55.91
MIDLAND-ODESSA	TX	30	0.40	0.62	0.58	0.83	1.98	1.55	1.70	1.69	2.62	1.74	0.69	0.56	14.96
MILWAUKEE	WI	30	1.60	1.45	2.67	3.50	2.84	3.24	3.47	3.53	3.38	2.41	2.51	2.33	32.93
MINNEAPOLIS-ST.PAUL	MN	30	0.95	0.88	1.94	2.42	3.39	4.05	3.53	3.62	2.72	2.19	1.55	1.08	28.32
MISSOULA	MT	30	1.24	0.79	0.97	0.96	1.78	1.78	0.91	1.20	1.12	0.74	0.81	1.16	13.46
MOBILE	AL	30	4.76	5.46	6.41	4.48	5.74	5.04	6.85	6.96	5.91	2.94	4.10	5.31	63.96
MOLINE	IL	30	1.54	1.23	2.98	3.90	4.30	4.27	4.95	4.22	4.02	2.93	2.51	2.23	39.08
MONTGOMERY	AL	30	4.68	5.48	6.26	4.49	3.92	3.90	5.19	3.69	4.09	2.45	4.08	5.20	53.43
MT. WASHINGTON	NH	30	7.94	8.56	8.97	8.17	7.51	7.82	7.08	8.24	7.38	7.19	10.38	9.72	98.96
MUSKEGON	MI	30	2.34	1.49	2.51	2.90	2.60	2.35	2.10	3.41	3.88	2.80	3.15	3.03	32.56
NASHVILLE	TN	30	3.58	3.81	4.85	4.37	4.88	3.57	3.97	3.46	3.46	2.62	4.12	4.61	47.30
NEWARK	NJ	30	3.39	3.04	3.87	3.84	4.13	3.22	4.50	3.91	3.66	3.05	3.91	3.45	43.97
NEW ORLEANS	LA	30	5.05	6.01	4.90	4.50	4.56	5.84	6.12	6.17	5.51	3.05	4.42	5.75	61.88
NEW YORK C.PARK	NY	30	3.42	3.27	4.08	4.20	4.42	3.67	4.35	4.01	3.89	3.56	4.47	3.91	47.25
NEW YORK (JFK AP)	NY	30	3.17	3.02	3.59	3.90	3.80	3.65	3.80	3.41	3.30	2.88	3.65	3.42	41.59
NEW YORK (LAGUARDIA AP)	NY	30	3.04	2.86	3.60	3.79	3.82	3.57	4.07	3.75	3.39	3.02	3.81	3.40	42.12
NOME	AK	30	0.79	0.60	0.54	0.68	0.62	1.12	2.17	2.71	2.43	1.35	1.04	0.83	14.88
NORFOLK	NE	30	0.52	0.77	1.86	2.29	3.68	4.46	3.22	2.55	2.45	1.60	1.01	0.74	25.15
NORFOLK	VA	30	3.78	3.47	3.70	3.06	3.81	3.82	5.06	4.81	3.90	3.15	2.85	3.23	44.64
NORTH LITTLE ROCK	AR	30	3.21	3.53	4.97	5.08	5.24	3.26	3.31	3.10	4.08	3.62	5.16	4.69	49.25
NORTH PLATTE	NE	30	0.36	0.43	1.20	1.99	3.43	3.37	3.06	1.74	1.61	0.98	0.66	0.47	19.30
OAK RIDGE	TN	30	4.57	4.34	5.68	4.08	4.68	4.34	5.45	3.70	3.86	3.18	4.59	5.30	53.77
OKLAHOMA CITY	OK	30	1.13	1.56	2.71	2.77	5.22	4.31	2.61	2.60	3.84	3.23	1.98	1.40	33.36
OLYMPIA	WA	30	8.01	5.77	4.95	3.29	2.09	1.63	0.82	1.29	2.26	4.31	8.05	8.12	50.59
OMAHA EPPLEY AP	NE	30	0.74	0.77	2.04	2.66	4.52	3.87	3.51	3.24	3.72	2.28	1.49	1.02	29.86
OMAHA (NORTH)	NE	30	0.65	0.78	2.13	2.74	4.36	3.90	3.27	3.22	3.65	2.41	1.35	0.93	29.39
ORLANDO	FL	30	2.30	3.02	3.21	1.80	3.55	7.32	7.25	6.78	6.01	2.42	2.30	2.15	48.11
PADUCAH	KY	30	3.27	3.90	4.92	5.01	4.94	4.05	4.19	3.34	3.69	3.00	4.32	4.68	49.31
PAGO PAGO AMER SAMOA,	PC	30	12.59	12.76	11.26	12.04	9.92	7.38	6.28	6.71	6.69	10.79	10.84	14.54	121.80
PENDLETON	OR	30	1.51	1.14	1.16	1.04	0.99	0.64	0.35	0.53	0.59	0.86	1.58	1.63	12.02
PENSACOLA	FL	30	4.68	5.40	5.63	3.77	4.20	6.40	7.42	7.39	5.32	4.21	3.54	4.29	62.25
PEORIA	IL	30	1.51	1.42	2.91	3.77	3.70	3.99	4.20	3.10	3.87	2.65	2.69	2.44	36.25
PHILADELPHIA	PA	30	3.21	2.79	3.46	3.62	3.75	3.74	4.28	3.80	3.42	2.62	3.34	3.38	41.41
PHOENIX	AZ	30	0.67	0.68	0.88	0.22	0.12	0.13	0.83	0.96	0.86	0.65	0.66	1.00	7.66
PITTSBURGH	PA	30	2.54	2.39	3.41	3.15	3.59	3.71	3.75	3.21	2.97	2.36	2.85	2.92	36.85
POCATELLO	ID	30	1.04	0.92	1.26	1.20	1.35	1.02	0.65	0.67	0.85	0.91	1.16	1.11	12.14
POHNPEI CAROLINE IS,	PC	30	12.07	10.80	13.54	16.44	19.12	17.14	18.39	16.53	16.06	16.71	15.74	15.22	187.76
PORT ARTHUR	TX	30	4.77	3.38	3.24	3.51	5.71	5.59	5.38	5.34	6.31	4.29	4.85	4.81	57.18
PORTLAND	ME	30	3.53	3.33	3.67	4.08	3.62	3.44	3.09	2.87	3.09	3.90	5.17	4.55	44.34
PORTLAND	OR	30	5.35	3.85	3.56	2.39	2.06	1.48	0.63	1.09	1.75	2.67	5.34	6.13	36.30
PROVIDENCE	RI	30	3.88	3.61	4.05	4.11	3.76	3.33	3.18	3.63	3.48	3.69	4.43	4.38	45.53
PUEBLO	CO	30	0.32	0.31	0.78	0.88	1.25	1.25	2.09	1.99	0.90	0.57	0.43	0.42	11.19
QUILLAYUTE	WA	30	14.37	12.59	11.48	7.51	5.40	3.12	2.57	2.54	4.88	10.52	14.74	15.46	105.18
RALEIGH	NC	30	3.48	3.69	3.77	2.59	3.92	3.68	4.01	4.02	3.19	2.86	2.98	3.24	41.43
RAPID CITY	SD	30	0.39	0.52	1.03	1.89	2.68	3.06	2.04	1.67	1.23	1.10	0.56	0.47	16.64
REDDING	CA	30	6.06	4.45	4.38	2.08	1.27	0.56	0.17	0.46	0.91	2.24	5.21	5.51	33.30
RENO	NV	30	1.07	0.99	0.71	0.38	0.69	0.46	0.28	0.32	0.39	0.38	0.87	0.99	7.53
RICHMOND	VA	30	3.24	3.16	3.61	2.96	3.84	3.62	5.03	4.40	3.34	3.53	3.17	3.26	43.16
ROANOKE	VA	30	2.62	3.04	3.48	3.25	3.98	3.19	3.91	4.15	3.50	3.85	3.19	2.97	41.13
ROCHESTER	MN	30	0.78	0.74	1.78	2.73	3.40	3.72	4.20	3.88	3.47	2.32	1.61	1.03	29.66
ROCHESTER	NY	30	2.08	2.10	2.28	2.61	2.72	3.00	2.71	3.40	2.97	2.44	2.92	2.73	31.96
ROCKFORD	IL	30	1.28	1.14	2.46	3.65	3.66	4.52	4.12	4.15	3.80	2.88	2.57	2.05	36.28
ROSWELL	NM	30	0.35	0.46	0.33	0.46	1.04	1.61	1.71	2.58	2.02	1.05	0.52	0.45	12.58
SACRAMENTO	CA	30	3.73	2.87	2.57	1.16	0.27	0.12	0.05	0.07	0.37	1.08	2.72	2.51	17.52
SAINT COD	MN	30	0.74	0.63	1.41	2.35	3.16	4.60	3.11	3.96	3.16	2.21	1.27	0.83	27.43
